DATE,lat,lon,adm1_code,location_type
2025-10-05 05:30:00,41.85,-87.6501,USIL,3
2025-10-05 05:30:00,32.7831,-96.8067,USTX,3
2025-10-05 05:30:00,31.106,-97.6475,USTX,2
2025-11-29 23:00:00,31.106,-97.6475,USTX,2
2025-11-29 23:00:00,30.3263,-97.7242,USTX,3
2025-11-29 23:00:00,38.468,-80.9696,USWV,2
2025-11-29 23:00:00,32.7254,-97.3208,USTX,3
2025-11-29 23:00:00,32.7831,-96.8067,USTX,3
2025-10-13 01:00:00,42.1497,-74.9384,USNY,2
2025-10-27 05:15:00,27.9475,-82.4584,USFL,3
2025-10-27 05:15:00,27.8333,-81.717,USFL,2
2026-02-01 02:00:00,45.7326,-93.9196,USMN,2
2026-02-01 02:00:00,44.5672,-122.127,USOR,2
2025-10-02 22:00:00,40.5726,-74.4927,USNJ,3
2025-10-02 22:00:00,31.106,-97.6475,USTX,2
2025-10-02 22:00:00,35.7449,-86.7489,USTN,2
2025-10-02 22:00:00,40.314,-74.5089,USNJ,2
2025-10-02 22:00:00,25.7743,-80.1937,USFL,3
2025-10-02 22:00:00,27.8333,-81.717,USFL,2
2025-10-02 22:00:00,32.7673,-89.6812,USMS,2
2025-11-16 18:00:00,35.6411,-79.8431,USNC,2
2025-11-16 18:00:00,35.2271,-80.8431,USNC,3
2025-11-16 18:00:00,35.2668,-80.8498,USNC,3
2025-12-30 23:00:00,36.17,-119.746,USCA,2
2025-10-22 22:45:00,36.17,-119.746,USCA,2
2025-10-22 22:45:00,32.7831,-96.8067,USTX,3
2025-11-26 22:45:00,37.768,-78.2057,USVA,2
2025-11-26 22:45:00,36.8211,-76.1572,USVA,3
2025-11-26 22:45:00,36.8529,-75.978,USVA,3
2025-11-26 22:45:00,36.8971,-76.2024,USVA,3
2025-11-26 22:45:00,38.4199,-117.122,USNV,2
2025-11-26 22:45:00,36.786,-76.0612,USVA,3
2025-11-26 22:45:00,36.8468,-76.2852,USVA,3
2025-11-26 22:45:00,32.7153,-117.157,USCA,3
2025-11-26 22:45:00,33.7712,-111.388,USAZ,2
2025-11-26 22:45:00,31.8826,-112.816,USAZ,3
2025-11-26 22:45:00,36.17,-119.746,USCA,2
2026-04-24 07:30:00,40.015,-105.271,USCO,3
2026-04-24 07:30:00,39.0646,-105.327,USCO,2
2026-04-24 07:30:00,39.7392,-104.985,USCO,3
2026-04-24 07:30:00,31.106,-97.6475,USTX,2
2025-10-14 03:15:00,38.4623,-92.302,USMO,2
2025-10-14 03:15:00,36.17,-119.746,USCA,2
2025-10-06 04:00:00,41.85,-87.6501,USIL,3
2025-10-06 04:00:00,40.3363,-89.0022,USIL,2
2025-10-11 18:45:00,31.106,-97.6475,USTX,2
2025-10-11 18:45:00,36.17,-119.746,USCA,2
2025-12-18 05:30:00,45.7326,-93.9196,USMN,2
2025-11-11 21:00:00,36.17,-119.746,USCA,2
2025-10-06 23:15:00,42.1497,-74.9384,USNY,2
2026-04-22 00:15:00,31.106,-97.6475,USTX,2
2026-04-22 00:15:00,30.0995,-95.4283,USTX,3
2026-04-22 00:15:00,29.7633,-95.3633,USTX,3
2026-04-08 20:45:00,26.6395,-81.8682,USFL,3
2026-04-08 20:45:00,27.8333,-81.717,USFL,2
2025-12-30 01:15:00,44.98,-93.2638,USMN,3
2025-12-30 01:15:00,45.7326,-93.9196,USMN,2
2025-11-02 20:15:00,32.799,-86.8073,USAL,2
2025-11-02 20:15:00,31.106,-97.6475,USTX,2
2025-10-07 20:15:00,41.85,-87.6501,USIL,3
2025-10-07 20:15:00,40.3363,-89.0022,USIL,2
2025-10-07 20:15:00,31.106,-97.6475,USTX,2
2025-10-07 19:00:00,40.3363,-89.0022,USIL,2
2025-10-25 05:30:00,39.0724,-76.7902,USMD,2
2025-11-04 21:00:00,37.5538,-77.4603,USVA,3
2025-11-04 21:00:00,37.768,-78.2057,USVA,2
2025-11-04 21:00:00,37.3835,-77.5997,USVA,3
2025-10-05 01:45:00,41.85,-87.6501,USIL,3
2025-10-05 01:45:00,41.9526,-87.6727,USIL,3
2025-10-05 01:45:00,40.3363,-89.0022,USIL,2
2025-11-18 01:00:00,38.5111,-96.8005,USKS,2
2025-11-18 01:00:00,40.5773,-77.264,USPA,2
2025-11-18 01:00:00,40.1051,-75.401,USPA,3
