city,org_num,quote
Los Angeles,1,"“We seek social and economic justice, and defend the collective interests of the poor and working people of Nuestra América. Fundamental to our independence is the development of an economic and social order that will see the masses of La Raza as owners of the product of our labor, and exercising collective control of the economy. We are victims of the common enemies of all working people in the world – capitalism and imperialism. It is for this reason that Unión del Barrio recognizes itself as a socialist organization, fighting for the liberation of our lands, our class interests, and on the side of all oppressed peoples.” - Unión del Barrio"
Sacramento,1,“Regional immigrant rights coalitions are absolutely critical in making sure that the voices of immigrant communities are lifted up.” - California Immigrant Policy Center
Sacramento,2,"“We partner with restaurants, grocery stores, farmers, as well as other food producers and distributors, in order to collect unused and potentially wasted food and distribute it directly to low-income apartment complexes around Sacramento that are experiencing economic and food insecurity. This is not only an effective way to help feed our community, but it also diverts good food from becoming waste in our landfills, which cares not only for our community but also for our environment.” Numbers: Besides large, publicly advertised food distribution events, our team has also moved to individual and apartment complex based distribution of food, recognizing that many are fearful of attending large public events at this time, and others lack reliable transportation. 127, 750 + Diapers Distributed, 18,870 Community Members Served, 8800 lbs Food Grown at Seeds of Solidarity Farm. - NorCal Resist"
Long Beach,1,"“Órale’s Academia De Liderazgo has conducted a series of political educational workshops inspired by SOUL, the School for Unity and Liberation. Workshops seek to promote civic engagement amongst low-income immigrant community members living in Long Beach. Through these workshops, community members will learn about and discuss the concept of identity and how it shapes our daily life in relation to power and its effects. In our program, participants have learned about and discussed economic inequality, sexism, homophobia, and how to organize for their community's need. Participants gain organizing tools that they apply to local and state advocacy campaigns, with many having attended city council, school district, and other legislative meetings.” - Órale"
New York,1,"“IDPs work includes ending the entanglement between immigration and the police, building strategic alliances with criminal justice advocates, and supporting directly-impacted communities by providing information, analysis, and strategy towards expanding rights and transforming the criminal and immigration systems.” - Immigrant Defense Project"
