city,org_num,org_name,org_purpose,org_description
Los Angeles,1,Unión del Barrio,"Protests and alert networks","UdB is a more traditionally radical advocacy group, with a Facebook page that serves as an alert network for ICE sightings. Their stated mission is “We seek social and economic justice, and defend the collective interests of the poor and working people of Nuestra América. Fundamental to our independence is the development of an economic and social order that will see the masses of La Raza as owners of the product of our labor, and exercising collective control of the economy. We are victims of the common enemies of all working people in the world – capitalism and imperialism. It is for this reason that Unión del Barrio recognizes itself as a socialist organization, fighting for the liberation of our lands, our class interests, and on the side of all oppressed peoples.”"
Sacramento,1,California Immigrant Policy Center,Policy advocacy,"The CIPC focuses on public policy, fighting for laws related to health and public benefits, economic justice, and challenging the criminalization of immigrant communities."
Sacramento,2,NorCal Resist,Immigration Defense," NorCal Resist demonstrates resistance by providing educational training, free auto light repair, food distribution, pro se asylum clinics, and many more. "
Long Beach,1,Órale,Community Organizing,"Órale provides educational workshops, along with know your rights training, and coalitions fighting immigrant detention, and advocating for immigrant defense laws."
New York,1,Immigrant Defense Project,Community Defense,"Immigrant Defense Project provides community defense through know your rights training, and targeted litigation to secure justice and fairness for immigrants."
