city,org_num,url
Los Angeles,1,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/672684964_1374861891343374_6819962188862811263_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=7b2446&_nc_ohc=3RTGjsopRvsQ7kNvwF5dzpw&_nc_oc=AdoGu0iB71y0p0gB_76I-7ra5NCJFGpis2IgWVfJuKvLSy90ymGuqWtykAUAm2OM55e6AsVRlr0ybI7tKyd6O7on&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=z3B3B1nCX4yCXVnFVKaGJw&_nc_ss=7b2a8&oh=00_Af3y9D2t1ci6YRf-PnAKiL6Y7Wn-VA3hEzaDEXxujC0lMQ&oe=69F6DDA1
Sacramento,1,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/683713832_1421501316687572_6665821803272795265_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=13d280&_nc_ohc=CvywuyLBC_4Q7kNvwEViISi&_nc_oc=Adrg9nwo6sWwoJ6BBYwbt89JMRlyzBbhqP5e8cg2Ok_FpiZwSSfekJGKSuwi8Tn4Meo&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=6zgscbl_yMoJBVRMdjLaLQ&_nc_ss=7b2a8&oh=00_Af1FomXhWocvYMf7kAw3gEa4SMCKxYhh7BxiO3A-ZuECvw&oe=69F71680
Sacramento,1,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/684929560_1421501213354249_947038565949615200_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=13d280&_nc_ohc=ilG1MpXTR2kQ7kNvwFyEQ47&_nc_oc=AdqvnOeeLbnmm02WZTuNrncC1Yz-_V1uzJ73inf-5Io0QumIHOQqBj19pluBqpxZ-ec&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=Ie9_1xu_L6LqW3VgChogDw&_nc_ss=7b2a8&oh=00_Af2wj8tMhInS9s4pGOj-Yja5UjnGbpZDqQ3wO-YhHb8bFg&oe=69F6F1C6
Sacramento,2,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/666687594_1267794148869734_6218081463521718394_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=7b2446&_nc_ohc=vfw0i8MOP6oQ7kNvwG9mMye&_nc_oc=AdowWZJrcyOnUUOPqgAIJ6SehDmYQ1p1cAEQlycsoGRgOdCNqqF1r163X7SEN-Xp2kI&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=lFDvbfHaQQz5O5xX8ENffA&_nc_ss=7b2a8&oh=00_Af1mv2y8XBTt2gJt-6vHHYubh2zcLETeaPrZp1V8ve134A&oe=69F6F8D5
Long Beach,1,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/651409292_1398283139006993_2148564259618914853_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7b2446&_nc_ohc=RAe7y_xcUfIQ7kNvwGubern&_nc_oc=Adp__fQH4nFjYcurEuiUp5ZOFeUq-AbMdleOx_JL3uUMQXPHYJiS9KwH8moLKHHywWcWK2lSmXUdi9dGAvNvAnjT&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=UH2nQRxx40zJzZVTbXuKuw&_nc_ss=7b2a8&oh=00_Af3omMJpLQkLDYsT250rFf-ELnV97f2L2jGI8xIx3vOs3A&oe=69F6DDA4
New York,1,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/597804244_1297394682428415_7645116537538015764_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=13d280&_nc_ohc=f2uZbD35sSoQ7kNvwHBYF8D&_nc_oc=AdoKUiqgoBt9-Kj3MfvEFGiANh6GJlx2ohS7yHAbzrOk-y1TgTTvkVf2MCwb6q_HjCTnR-zcFlQXL0Fd8LEIj5qO&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=4RYWsWdVpK0ApkSAIx1dwQ&_nc_ss=7b2a8&oh=00_Af2bls_BTDwdOEHIFHS9AJxgVrXpIpTQ3VR9KiNvZo6i8w&oe=69F6FFBB
